i,group,x
596,0,30.3
597,1,30.4
598,0,30.4
599,1,30.6
600,1,30.4
601,1,31.3
602,0,29.5
603,1,33.1
604,1,32.1
605,1,31.6
606,0,31.4
607,0,29.6
608,0,28.6
609,0,29.8
610,1,32.8
611,1,32.4
612,1,30.9
613,0,30.3
614,1,31.5
615,1,30.7
616,1,32.1
617,1,33.9
618,1,32.8
619,0,30
620,1,32.6
621,1,30.9
622,0,28.9
623,1,34
624,1,31.8
625,0,29.2
626,0,30.6
627,1,30.5
628,1,30.8
629,1,33.3
630,1,33.3
631,1,31.6
632,0,32
633,0,30.3
634,0,30.7
635,0,30.6
636,1,34.1
637,0,30.2
638,1,32.7
639,1,31.2
640,1,30.5
641,1,31.4
642,1,32.9
643,1,32.2
644,1,32.1
645,1,30.4
646,1,32.8
647,1,31.5
648,1,32.2
649,1,32.3
650,1,32.4
651,0,30.5
652,1,32.7
653,0,29.8
654,0,30.3
655,1,31.4
656,1,31.6
657,0,28.7
658,1,31.6
659,0,30.6
660,1,31.9
661,0,29.3
662,1,31.2
663,0,29.9
664,0,28.9
665,1,30
666,1,31.5
667,1,31.8
668,0,30.1
669,0,30.9
670,1,31.5
671,1,33.3
672,0,30
673,1,32.8
674,1,32.1
675,1,32.8
676,0,31.6
677,1,31.8
678,0,29.6
679,0,29.4
680,0,31.4
681,1,34.2
682,1,33.9
683,1,30.2
684,1,32.4
685,1,32.6
686,1,31.7
687,0,29.8
688,1,31.3
689,0,29
690,1,31.4
691,1,31.6
692,1,33.1
693,1,32.8
694,1,30.9
695,1,33.1
696,1,32.4
697,1,29.5
698,0,28.4
699,1,32.7
700,1,33.1
701,0,29.6
702,1,32.7
703,0,29.9
704,1,31.1
705,1,33
706,1,30.8
707,0,29.1
708,1,31.8
709,1,30
710,1,31.8
711,1,30.6
712,1,33.2
713,1,33.2
714,0,27.9
715,1,33.3
716,1,31.9
717,1,31.9
718,0,30.2
719,0,30.2
720,0,29.4
721,0,29.5
722,0,30.5
723,0,31.5
724,1,31.8
725,1,32
726,0,32
727,1,31.3
728,0,30.7
729,1,32.2
730,1,31.6
731,0,30.4
732,1,30.7
733,0,29.8
734,1,32
735,0,30.1
736,1,32.4
737,1,32.1
738,1,32.5
739,1,32.9
740,1,31.2
741,1,31.6
742,0,29.6
743,1,31.5
744,1,32.6
745,1,32.8
746,0,29
747,1,32.2
748,0,31.1
749,1,32.7
750,0,31
751,0,29.5
752,0,30.1
753,0,29.6
754,1,32.2
755,1,31.1
756,1,31.9
757,1,31.5
758,0,30.5
759,1,32
760,0,30.1
761,0,31.2
762,1,32.4
763,0,29.6
764,1,31.4
765,1,32.9
766,0,29.3
767,1,32.3
768,1,33.8
769,1,30.8
770,1,32.5
771,1,30.7
772,0,32.2
773,1,33.5
774,1,32.7
775,1,32.7
776,1,32.1
777,0,30.4
778,1,32.2
779,1,31.7
780,1,33.7
781,1,31.4
782,0,29.8
783,1,32.3
784,1,32.6
785,1,31.7
786,1,30.8
787,1,32.5
788,0,28.7
789,0,29.3
790,1,31.5
791,1,32.6
792,1,31.4
793,1,31.7
794,1,32.3
795,1,32
796,1,31.9
797,0,29.6
798,1,31.7
799,1,31.6
800,1,33.5
801,0,29.3
802,1,32.8
803,1,32.5
804,1,32.6
805,1,34.2
806,1,33
807,0,31.8
808,0,30.4
809,1,32.5
810,0,29.9
811,1,32.4
812,1,34.9
813,1,33.2
814,0,30.4
815,1,31.5
816,1,32.4
817,0,30.4
818,1,32.3
819,1,31.7
820,1,32.5
821,0,30.2
822,1,32.6
823,1,31.8
824,1,32.6
825,1,32.3
826,0,28.1
827,1,31.1
828,0,28.9
829,0,28.6
830,1,32
831,1,31.2
832,1,31.4
833,1,31.5
834,1,30.9
835,1,33.1
836,0,31.1
837,0,28.7
838,1,31.8
839,0,29.9
840,0,30.6
841,1,31.3
842,1,31.5
843,0,30.9
844,1,30.2
845,1,32.7
846,1,34.7
847,1,31.2
848,0,31.7
849,0,29.7
850,1,30.9
851,1,29.5
852,1,32.7
853,1,33.7
854,0,31.4
855,1,33.2
856,1,30.5
857,0,29.7
858,0,30.4
859,1,32
860,0,30
861,1,31.4
862,1,31.1
863,0,30.8
864,1,30.4
865,0,29.6
866,0,32.1
867,1,30.6
868,0,30.4
869,1,32.6
870,1,30.5
871,1,31.2
872,1,30.7
873,1,34
874,0,30.1
875,1,30.4
876,1,32.7
877,1,32.6
878,1,33
879,1,33.8
880,1,30.8
881,1,31.7
882,1,32.5
883,1,31.5
884,1,30.8
885,1,32.3
886,1,31.6
887,1,32.6
888,0,29.4
889,1,30.5
890,1,34.6
891,1,32.8
892,1,31.9
893,1,31.7
894,1,31.2
895,0,30.6
896,1,31.9
897,1,33.5
898,1,31.8
899,0,30.6
900,1,31.6
901,1,33.4
902,1,31.9
903,1,33.3
904,1,32
905,0,28.2
906,1,29.9
907,1,34.8
908,1,32.1
909,1,31.7
910,0,28.5
911,1,32.8
912,1,31.6
913,0,29.2
914,1,32.4
915,0,28
916,1,32.8
917,0,30.5
918,1,33.3
919,1,31.7
920,1,32.9
921,0,29.2
922,0,30.7
923,1,30.9
924,1,30.4
925,1,31.6
926,1,31.4
927,1,32.9
928,0,28.9
929,0,31.2
930,1,32.2
931,1,31.7
932,1,31.5
933,1,30.5
934,1,31.7
935,1,31.8
936,1,30.7
937,1,31
938,1,29.3
939,0,30.1
940,0,31.2
941,1,32.1
942,0,30.3
943,0,30.2
944,1,30.9
945,0,29.6
946,1,31.7
947,1,33.5
948,0,30.4
949,1,33
950,1,32
951,0,28.2
952,1,32
953,1,33.6
954,0,31.6
955,1,33.3
956,1,32.6
957,1,33.5
958,1,31.8
959,1,31.2
960,1,31.5
961,0,31
962,0,30.1
963,1,31.7
964,1,32.4
965,1,31.5
966,0,30.8
967,0,28.3
968,0,27.9
969,0,29.9
970,1,30.3
971,0,27.7
972,1,30.5
973,1,30.6
974,1,32
975,1,29.1
976,1,31.4
977,1,33.7
978,0,31.1
979,0,29.9
980,1,32
981,1,33.1
982,0,29.3
983,1,32.2
984,1,33.2
985,0,30.6
986,0,29.8
987,1,32.1
988,1,34.6
989,0,31.6
990,1,32.5
991,0,28.8
992,1,32.8
993,1,30.7
994,1,31.6
995,1,32.7
996,0,29.6
997,1,31.5
998,1,30.1
999,0,28.8
1000,0,30.6
